Index,Type,Price,Area,Location
501,T4,675000,174,Lisboa
502,T3,820000,176,Lisboa
503,T3,450000,80,Lisboa
504,T4,3750000,234,Lisboa
505,T4,795000,238,Porto
506,T2,350000,107.14,Porto
507,T3,620000,188.24,Porto
509,T3,1625000,181,Porto
510,T3,470000,150.80,Leiria
511,T2,167500,90,Setúbal
512,T3,157000,131.50,Santarém
513,T1,255000,49,Lisboa
514,T3,180000,83.70,Setúbal
515,T2,200000,82.50,Aveiro
516,T3,750000,158.10,Porto
517,T0,465000,57.29,Porto
518,T2,555000,78.53,Lisboa
519,T1,408000,52.64,Lisboa
520,T0,372000,49.95,Lisboa
521,T2,368369,95,Porto
522,T3,375144,128,Faro
523,T2,273252,80,Faro
524,T1,237216,69,Faro
525,T3,290900,110.80,Porto
526,T3,187000,133.25,Santarém
527,T3,225000,167,Porto
528,T3,185000,103,Faro
529,T3,185000,103,Faro
530,T4,1390000,287,Lisboa
531,T4,445000,166,Aveiro
532,T1,120000,67.50,Braga
533,T2,220000,62,Lisboa
534,T3,750000,312,Porto
535,T2,300000,89,Aveiro
536,T3,640000,111.75,Lisboa
537,T3,335000,116,Porto
538,T2,159900,113,Braga
539,T3,635000,154.60,Porto
540,T2,143000,108,Aveiro
542,T2,300000,91.90,Faro
543,T2,245000,79,Porto
545,T2,322000,79.80,Lisboa
546,T1,125000,65,Coimbra
547,T3,168000,80.26,Setúbal
548,T1,245000,57,Lisboa
549,T1,143000,47.94,Aveiro
550,T2,285900,82.80,Porto
551,T3,235000,91,Porto
552,T4,460000,152,Ilha da Madeira
553,T2,320000,54.22,Porto
554,T1,400000,127.68,Lisboa
555,T3,239900,112.70,Porto
556,T3,239900,112.70,Porto
557,T2,665280,90,Lisboa
558,T2,735000,127,Faro
559,T4,1497600,183,Lisboa
560,T4,1563840,182,Lisboa
561,T4,1507200,182,Lisboa
562,T3,589000,104,Lisboa
563,T2,725000,132,Faro
564,T2,285900,86,Porto
565,T2,289900,86,Porto
566,T1,155990,59,Aveiro
567,T1,153990,59,Aveiro
568,T2,199900,74.20,Porto
569,T2,219900,82.60,Porto
570,T2,222900,81,Porto
571,T2,218900,82.60,Porto
572,T2,199900,80,Porto
573,T2,284000,94,Porto
574,T5,1670000,210,Lisboa
575,T4,555000,97,Porto
576,T3,250000,162.50,Coimbra
577,T5,875000,225,Porto
578,T2,425000,70,Leiria
579,T3,249900,130,Braga
580,T2,435000,89.50,Lisboa
581,T4,325000,165,Leiria
582,T3,212000,110,Lisboa
583,T3,2500000,164.91,Lisboa
584,T2,330000,93,Porto
585,T2,180000,85,Aveiro
586,T2,145000,85,Porto
587,T2,230000,130,Coimbra
588,T3,175000,110,Coimbra
589,T3,269500,110,Setúbal
590,T3,306990,144,Aveiro
591,T2,144900,68,Porto
592,T3,365000,116,Porto
593,T1,226000,69,Porto
594,T4,387500,157,Porto
595,T3,306000,85,Setúbal
596,T3,144000,105,Aveiro
597,T3,380000,112.45,Setúbal
598,T2,183000,75,Setúbal
599,T3,450000,125,Setúbal
600,T3,450000,125.07,Setúbal
601,T3,460000,125.08,Setúbal
602,T1,215000,48,Porto
603,T2,225000,86,Porto
604,T2,360000,66,Lisboa
605,T2,285000,76,Porto
606,T1,219000,50,Faro
607,T1,232510,52.80,Porto
608,T2,330000,90,Faro
609,T2,240000,116,Porto
610,T1,190000,49.97,Porto
611,T2,340000,90,Faro
612,T1,207000,49.12,Porto
613,T3,179990,95,Braga
614,T2,330000,98,Faro
615,T2,184900,66.42,Setúbal
616,T2,850000,88.90,Lisboa
617,T3,219900,116,Braga
618,T3,470000,155,Porto
619,T3,440000,154.40,Porto
620,T4,3250000,552.29,Faro
621,T2,225000,49,Porto
622,T4,1665000,250.13,Faro
623,T3,460000,125,Setúbal
624,T3,550000,150,Porto
625,T2,1050000,159,Faro
626,T3,299500,118,Coimbra
627,T3,399000,114,Faro
628,T2,265000,96,Braga
629,T3,380000,113,Setúbal
630,T2,180000,96,Lisboa
631,T3,165000,115,Santarém
632,T2,278000,94,Porto
633,T3,160000,152.70,Aveiro
634,T2,198000,86.60,Porto
635,T3,160000,159.40,Aveiro
636,T3,550000,114,Setúbal
637,T2,355000,83,Porto
639,T1,195000,62,Porto
640,T1,460000,73,Ilha da Madeira
641,T1,595000,98,Ilha da Madeira
642,T4,1250000,217.06,Porto
644,T1,259000,70,Lisboa
